07022023	12:30:51	5cf6f881-97c6-4c4a-b417-40d57e409b24	/new-page	GET
07022023	12:30:51	47374dc7-a0f7-45f0-9d83-45ba1fbda5ca	/css/style.css	GET
07022023	12:30:51	19e574ad-765a-4aab-9eb6-95a84fdc7f35	/img/sevenSister.jpg	GET
07022023	16:01:03	b6b27b04-db6d-4e06-ba9c-d9d37f47a78b	GET	undefined	/
07022023	16:01:03	9197b0f1-1446-4925-b50e-7fa1d2280df5	GET	undefined	/css/style.css
07022023	16:06:51	e8c9dbff-9b8d-48c8-b518-d519417798e7	OPTIONS	https://www.google.com	/
07022023	16:06:51	76e65193-8621-4738-bba8-29e93af03cb9	GET	https://www.google.com	/
07022023	16:08:53	3a97b0b8-c5f0-4e95-bc54-c2c971ee6671	OPTIONS	https://www.google.com	/
07022023	16:08:53	8fb1ee6e-b931-4b81-bc9b-c87642597ae6	GET	https://www.google.com	/
07022023	16:14:19	5cd639ac-0d6c-4126-8157-248e8dda950b	OPTIONS	https://www.google.com	/
07022023	16:14:19	bcb2a5c0-393b-401e-bb02-4554858c84a9	GET	https://www.google.com	/
07022023	16:14:52	f3b7c19c-f853-4f18-8332-1a4185327644	OPTIONS	https://www.google.com	/
07022023	16:14:52	c49291d4-d88a-4c05-90a7-905897770b11	GET	https://www.google.com	/
07022023	16:19:54	cb0af9b9-0851-4147-a74b-7bb7ade9cd21	GET	undefined	/
07022023	16:20:40	e83da970-b47b-48ba-8e7a-d950e59e0c44	GET	undefined	/
07022023	16:20:40	34b958f4-d29d-4b40-be43-0d81c5465ace	GET	undefined	/css/style.css
07022023	16:25:58	56f4e75c-2ec5-40fa-9a6b-da678e27693f	GET	undefined	/
07022023	16:25:58	4ce939f1-7c4c-4aa9-9981-4b3b0a632cfa	GET	undefined	/css/style.css
07022023	16:29:36	5936c951-91a9-4797-9745-9f42ed8ac9f4	GET	undefined	/
07022023	16:29:36	afb1d382-3320-4e6c-a305-a8a3084dbacd	GET	undefined	/css/style.css
07022023	16:29:40	10d9f4a2-3cf9-4c53-8107-49f2f36fdc7e	GET	undefined	/loud
07022023	16:30:46	02a65ceb-0e59-4fed-bd01-2ebdb3da0cdc	GET	undefined	/loud
07022023	16:30:46	86270838-3224-4ac0-9bfc-f85b9ffafecb	GET	undefined	/css/style.css
07022023	16:34:33	fd7c9fd3-1189-479e-b359-7131a86754a3	GET	undefined	/loud
07022023	16:34:33	3ce941a8-f58e-49b8-823e-abbe02bdd3eb	GET	undefined	/css/style.css
07022023	17:13:17	d09fa1d1-dc41-4f95-b55c-57f969f0502c	GET	undefined	/
07022023	17:13:17	eb632b6a-f470-4af9-98f3-0c42238d8652	GET	undefined	/css/style.css
07022023	17:13:27	eb917d30-cd05-4e80-8642-41dadb899ed1	GET	undefined	/subdir
07022023	17:15:11	1d16b940-5c7c-4ec8-bd0b-5df4a25e68d2	GET	undefined	/subdir/loud
07022023	17:15:11	6a0f9134-b6d8-4211-8a60-8073afddc8b3	GET	undefined	/subdir/css/style.css
07022023	17:21:02	4c9997b1-863a-403b-981b-ac7a05f792e0	GET	undefined	/
07022023	17:21:02	7d42321b-0790-4307-b95d-9482ea00bb6d	GET	undefined	/css/style.css
07022023	17:21:07	b98086ed-2e4d-4afc-a4a6-897b1a655748	GET	undefined	/new-page
07022023	17:21:08	2bbdb962-e797-4efe-928c-92afc684ea39	GET	undefined	/css/style.css
07022023	17:21:08	458e8ad8-8a3a-4871-a884-79668ac1cb67	GET	undefined	/img/sevenSister.jpg
07022023	17:21:26	7e52e9fa-ac92-4243-8357-6a88c50b3986	GET	undefined	/old-page
07022023	17:21:26	eff74f52-bfee-439a-b20b-e0b8e385a2ef	GET	undefined	/new-page.html
07022023	17:21:26	2c053759-3080-46e2-9b9e-6fb74c8d08fa	GET	undefined	/css/style.css
07022023	17:21:26	7d603b4b-d50a-45dd-b88e-e95a0d76cbe3	GET	undefined	/img/sevenSister.jpg
07022023	17:21:32	aab806a2-de8e-4817-b861-d5864ee9e862	GET	undefined	/
07022023	17:21:32	6fc1d4f7-ce50-408a-a69e-9da4953b0e09	GET	undefined	/css/style.css
07022023	17:35:35	3297ffe6-71f3-4791-b492-dd4c7f44d1f0	GET	undefined	/employees
07022023	17:37:39	d19b6e96-ab8c-49a5-ab85-807953766bc6	POST	undefined	/employees
07022023	17:39:05	e4c770fb-3da0-41dc-b670-cae2bc2ee361	PUT	undefined	/employees
07022023	17:39:48	72fe1562-2165-4cf2-84e3-336633c0f1eb	GET	undefined	/employees/1
08022023	11:22:35	0a1eb1e8-79e6-43f5-ad74-e060eff6e2e5	GET	undefined	/employees
08022023	11:23:41	8e46ee84-e49c-49c6-94e9-fbdf5c319407	POST	undefined	/employees
08022023	11:25:02	43b9ef4c-1328-45d6-abac-4b516f930678	PUT	undefined	/employees
08022023	11:25:51	fb8783c9-376d-4b24-b64a-b76cb6509678	DELETE	undefined	/employees
08022023	11:26:05	1b3f1274-331f-4552-af0b-9a17b6c21151	GET	undefined	/employees/1
08022023	12:05:15	28f4661c-49c1-4f91-995d-9426eee69501	POST	undefined	/register
08022023	12:06:02	f1ffc5bb-402f-4c37-9c03-fb43a3c3eee5	POST	undefined	/register
08022023	12:16:29	6389918d-1abe-41c9-ab50-246db2abd6e1	POST	undefined	/auth
08022023	12:16:45	32391830-f2f8-4a93-ade6-4933cf68c21d	POST	undefined	/auth
08022023	12:16:50	a4c4c46e-3c6c-4dc5-86cb-141e53ef725b	POST	undefined	/auth
08022023	12:17:17	6ef5e8e2-531a-412b-aa13-99dbb86bf94e	POST	undefined	/register
08022023	14:39:49	bd696acd-ee8b-4a26-a5ed-1cce27b49260	POST	undefined	/auth
08022023	14:40:52	172cf299-15a2-49cc-82d2-70a8d50ec7a5	GET	undefined	/employees
08022023	14:41:06	14ce7985-969a-46b7-9330-e529f6d00a01	POST	undefined	/auth
08022023	14:41:17	4d4e8389-d9bd-4fd0-af97-d3e4d331d95e	GET	undefined	/employees
08022023	14:58:26	99dc86db-ac61-4499-9533-d2a0641b42ae	POST	undefined	/auth
08022023	14:59:19	71b39d87-eb74-4dad-ab8c-b2623108fdb9	GET	undefined	/refresh
08022023	14:59:45	99ddd33e-351d-4040-9b5e-313e84a1486b	GET	undefined	/refresh
08022023	14:59:47	0e03b813-f3e9-4643-ab45-33164b7ed641	GET	undefined	/refresh
08022023	15:54:55	b26978e0-d7f5-4895-84a1-b53d6902d81c	POST	undefined	/auth
08022023	15:55:20	b207d37a-316c-4e96-a6e1-162c60c8ae4c	GET	undefined	/logout
08022023	15:57:11	99e186da-25af-4b2b-a96a-e18efabf0dfb	POST	undefined	/auth
08022023	15:57:21	e8d52de9-6230-49b7-8831-165ece2d9ea4	GET	undefined	/logout
08022023	16:18:42	1eb2e6f4-7c6e-4c3e-aeaa-d48b55b10f31	POST	undefined	/register
08022023	16:18:50	a33890ad-b60d-486d-b6c1-448472a366ef	POST	undefined	/register
08022023	17:13:45	287031ba-c6a2-44d7-b877-8804e424046e	GET	undefined	/auth
08022023	17:14:53	897212d1-b6d9-445d-981d-458a774ad04a	POST	undefined	/auth
08022023	17:19:09	a1d7be48-f1a0-4567-b288-6a03563df901	POST	undefined	/auth
08022023	17:22:07	7c12729a-057a-4b31-859a-6aa67ce5185d	POST	undefined	/auth
08022023	17:22:33	3af49e01-2cea-4702-9f06-195cd8a4ea0b	POST	undefined	/auth
08022023	17:23:12	ba24eea1-cdd7-4285-9c8d-35a08a10742e	POST	undefined	/auth
09022023	10:14:23	c7a5f154-3db6-4faf-b86e-b61b95b4211e	POST	undefined	/auth
09022023	10:21:02	fb71e418-0de7-429b-ad95-6dd6d39464a9	POST	undefined	/auth
09022023	10:21:50	94300016-6f04-4010-a46a-df7c34fce81d	POST	undefined	/employees
09022023	10:23:03	15554d74-135c-4b1f-bbb0-88d54f8849a8	POST	undefined	/auth
09022023	10:23:27	685ee989-d6c2-4e2e-aabe-b186d56b8e68	GET	undefined	/employees
09022023	10:26:28	227caa77-add7-42f0-87f4-4440200a778d	POST	undefined	/auth
09022023	10:52:26	2924e967-e4e6-41e3-aa0c-ab2b777e99c3	POST	undefined	/auth
09022023	12:05:14	2e35072f-f0a2-4c47-bd07-c1bc0818d224	POST	undefined	/register
09022023	12:16:55	0ad49540-41a2-46f3-9a44-6fd6bde8f677	POST	undefined	/register
09022023	12:17:06	64df1a16-5c31-44f7-a88d-5a68061596a0	POST	undefined	/register
09022023	12:17:17	f574ae8f-ba97-4df7-ba64-369a9db68af5	POST	undefined	/register
09022023	14:25:50	85d433e8-6d6b-423d-be73-b1ae93c04ec2	POST	undefined	/register
09022023	14:26:11	d1cc74b5-e18f-4a40-a8a1-0bb4648d3eae	POST	undefined	/register
09022023	14:29:23	f670e90d-dbaa-4a8d-82df-057b12893014	POST	undefined	/register
09022023	14:31:10	b38274df-adf7-4215-b3f4-cf0910cb616f	POST	undefined	/register
09022023	14:31:38	ee74a403-91ef-4b16-a0b8-a9ddb78c2428	POST	undefined	/auth
09022023	14:34:35	219a082d-e7d3-4415-8f40-d1016fd34ac7	POST	undefined	/refresh
09022023	14:35:38	0822c431-0f2d-4cef-86f8-870609d71553	POST	undefined	/auth
09022023	14:35:46	11e4f929-828f-4a1c-b029-eba8f4cbf5c6	POST	undefined	/refresh
09022023	14:36:06	716c10c2-606d-408c-a21d-d6da7b4b8798	GET	undefined	/refresh
09022023	14:36:52	b3d5a655-ff13-4f92-9762-f81f1d80e8a0	GET	undefined	/logout
09022023	14:57:26	528b0dd0-71e5-43cc-86c8-b685405863bf	POST	undefined	/auth
09022023	14:57:43	92c1b8ef-6f12-46d6-acdb-d6ad55fa2b90	GET	undefined	/employees
09022023	15:05:35	8abee61d-3116-4546-a883-d1ba946611b8	POST	undefined	/auth
09022023	15:05:50	7da9ea76-74c0-435b-9cad-abe89ac36a05	GET	undefined	/employees
